worker_id,worker_name,archetype,site,date,status
1,Jyoti Baria,moderate,Site_4,2026-04-25,present
1,Jyoti Baria,moderate,Site_4,2026-04-27,present
1,Jyoti Baria,moderate,Site_4,2026-04-28,present
1,Jyoti Baria,moderate,Site_4,2026-04-29,present
1,Jyoti Baria,moderate,Site_4,2026-04-30,present
1,Jyoti Baria,moderate,Site_4,2026-05-01,present
1,Jyoti Baria,moderate,Site_4,2026-05-02,present
1,Jyoti Baria,moderate,Site_4,2026-05-04,absent
1,Jyoti Baria,moderate,Site_4,2026-05-05,absent
1,Jyoti Baria,moderate,Site_4,2026-05-06,present
1,Jyoti Baria,moderate,Site_4,2026-05-07,present
1,Jyoti Baria,moderate,Site_4,2026-05-08,absent
1,Jyoti Baria,moderate,Site_4,2026-05-09,present
1,Jyoti Baria,moderate,Site_4,2026-05-11,present
1,Jyoti Baria,moderate,Site_4,2026-05-12,present
1,Jyoti Baria,moderate,Site_4,2026-05-13,absent
1,Jyoti Baria,moderate,Site_4,2026-05-14,absent
1,Jyoti Baria,moderate,Site_4,2026-05-15,present
1,Jyoti Baria,moderate,Site_4,2026-05-16,absent
1,Jyoti Baria,moderate,Site_4,2026-05-18,present
1,Jyoti Baria,moderate,Site_4,2026-05-19,present
1,Jyoti Baria,moderate,Site_4,2026-05-20,absent
1,Jyoti Baria,moderate,Site_4,2026-05-21,absent
1,Jyoti Baria,moderate,Site_4,2026-05-22,present
1,Jyoti Baria,moderate,Site_4,2026-05-23,present
1,Jyoti Baria,moderate,Site_4,2026-05-25,present
1,Jyoti Baria,moderate,Site_4,2026-05-26,present
1,Jyoti Baria,moderate,Site_4,2026-05-27,present
1,Jyoti Baria,moderate,Site_4,2026-05-28,present
1,Jyoti Baria,moderate,Site_4,2026-05-29,present
1,Jyoti Baria,moderate,Site_4,2026-05-30,present
1,Jyoti Baria,moderate,Site_4,2026-06-01,present
1,Jyoti Baria,moderate,Site_4,2026-06-02,present
1,Jyoti Baria,moderate,Site_4,2026-06-03,present
1,Jyoti Baria,moderate,Site_4,2026-06-04,absent
1,Jyoti Baria,moderate,Site_4,2026-06-05,present
1,Jyoti Baria,moderate,Site_4,2026-06-06,absent
1,Jyoti Baria,moderate,Site_4,2026-06-08,present
1,Jyoti Baria,moderate,Site_4,2026-06-09,present
1,Jyoti Baria,moderate,Site_4,2026-06-10,present
1,Jyoti Baria,moderate,Site_4,2026-06-11,present
1,Jyoti Baria,moderate,Site_4,2026-06-12,absent
1,Jyoti Baria,moderate,Site_4,2026-06-13,absent
1,Jyoti Baria,moderate,Site_4,2026-06-15,present
1,Jyoti Baria,moderate,Site_4,2026-06-16,present
1,Jyoti Baria,moderate,Site_4,2026-06-17,absent
1,Jyoti Baria,moderate,Site_4,2026-06-18,present
1,Jyoti Baria,moderate,Site_4,2026-06-19,absent
1,Jyoti Baria,moderate,Site_4,2026-06-20,present
1,Jyoti Baria,moderate,Site_4,2026-06-22,present
1,Jyoti Baria,moderate,Site_4,2026-06-23,present
1,Jyoti Baria,moderate,Site_4,2026-06-24,present
1,Jyoti Baria,moderate,Site_4,2026-06-25,present
1,Jyoti Baria,moderate,Site_4,2026-06-26,absent
1,Jyoti Baria,moderate,Site_4,2026-06-27,present
1,Jyoti Baria,moderate,Site_4,2026-06-29,present
1,Jyoti Baria,moderate,Site_4,2026-06-30,absent
1,Jyoti Baria,moderate,Site_4,2026-07-01,absent
1,Jyoti Baria,moderate,Site_4,2026-07-02,present
1,Jyoti Baria,moderate,Site_4,2026-07-03,absent
1,Jyoti Baria,moderate,Site_4,2026-07-04,absent
1,Jyoti Baria,moderate,Site_4,2026-07-06,present
1,Jyoti Baria,moderate,Site_4,2026-07-07,present
1,Jyoti Baria,moderate,Site_4,2026-07-08,present
1,Jyoti Baria,moderate,Site_4,2026-07-09,present
1,Jyoti Baria,moderate,Site_4,2026-07-10,absent
2,Chakrika Menon,reliable,Site_2,2026-02-05,present
