worker_id,worker_name,attendance_rate,tenure_days,num_sites,total_days_logged,archetype
1,Jyoti Baria,0.696969696969697,76,1,66,moderate
2,Chakrika Menon,0.9104477611940298,155,2,134,reliable
3,Ikshita Sama,0.9741379310344828,134,4,116,reliable
4,Warjas Chandra,0.7368421052631579,87,2,76,moderate
5,Rayaan Gade,0.5897435897435898,44,1,39,unreliable
6,Abeer Misra,0.6,4,1,5,new
7,George Kanda,0.9180327868852459,141,4,122,reliable
8,Chanakya Jani,0.7378640776699029,119,1,103,moderate
9,Bimala Dass,0.4444444444444444,20,1,18,unreliable
10,Manan Grover,0.8125,92,2,80,moderate
11,Brijesh Sant,0.3333333333333333,44,1,39,unreliable
12,Chaaya Dutt,0.7142857142857143,7,1,7,new
13,Vedika Sanghvi,0.9083969465648855,151,3,131,reliable
14,Unni Khurana,0.7640449438202247,102,2,89,moderate
15,Chakradhar Korpal,0.6086956521739131,25,1,23,unreliable
16,Anmol Hans,0.9571428571428572,162,3,140,reliable
17,Chandresh Kalita,0.875,73,2,64,moderate
18,Avni Khanna,0.803030303030303,76,2,66,moderate
19,Devansh Sheth,0.9090909090909091,178,2,154,reliable
20,Laban Jain,0.6951219512195121,94,2,82,moderate
21,Sneha Chahal,0.7738095238095238,97,2,84,moderate
22,Bhanumati Babu,0.7272727272727273,24,1,22,unreliable
23,Tejas Chauhan,0.9659863945578231,170,3,147,reliable
24,Chanakya Ravi,0.5217391304347826,25,1,23,unreliable
25,Kala Varghese,0.5833333333333334,13,1,12,new
26,Yagnesh Prabhakar,0.5,22,1,20,unreliable
27,Tejas Aurora,0.7543859649122807,65,1,57,moderate
28,Zilmil Yadav,0.9867549668874173,175,3,151,reliable
29,Jyoti Mallick,0.47058823529411764,38,1,34,unreliable
30,Zehaan Sarin,0.9150326797385621,177,2,153,reliable
31,Advaith Pai,0.35714285714285715,15,1,14,unreliable
32,Rajata Karan,0.9724137931034482,168,4,145,reliable
33,Krisha Chadha,0.8514851485148515,116,2,101,moderate
34,Jagat Aurora,0.9495798319327731,137,3,119,reliable
35,Isha Sem,0.48484848484848486,37,1,33,unreliable
36,Meera Singh,0.8,86,1,75,moderate
37,Bhavika Naik,0.40540540540540543,42,1,37,unreliable
38,Ishita Muni,0.8552631578947368,87,1,76,moderate
39,Damyanti Gill,0.927007299270073,158,3,137,reliable
40,Jalsa Swaminathan,0.7352941176470589,38,1,34,unreliable
41,Theodore Verma,0.8080808080808081,114,2,99,moderate
42,Vrinda Mittal,0.358974358974359,44,1,39,unreliable
43,Nihal Sibal,0.391304347826087,25,1,23,unreliable
44,Kala Choudhry,0.6440677966101694,67,1,59,moderate
45,Rachita Baral,0.7525773195876289,112,2,97,moderate
46,Ekaja Barad,0.7176470588235294,98,2,85,moderate
47,Jalsa Ganguly,0.7865168539325843,102,2,89,moderate
48,Henry Virk,0.7945205479452054,84,2,73,moderate
49,Vrinda Apte,0.7640449438202247,102,1,89,moderate
50,Zayan Salvi,0.9624060150375939,154,2,133,reliable
51,Siya Sen,0.8514851485148515,116,2,101,moderate
52,Chatura Sekhon,0.9407894736842105,176,2,152,reliable
53,Lila Shankar,0.916083916083916,165,4,143,reliable
54,Adya Mital,0.922077922077922,178,3,154,reliable
55,Qadim Nagarajan,0.36,28,1,25,unreliable
56,Tamanna Bajaj,0.875,111,2,96,moderate
57,Unnati Sridhar,0.6,4,1,5,new
58,Barkha Amble,0.8888888888888888,146,2,126,reliable
59,Rajata Mahajan,0.9624060150375939,154,3,133,reliable
60,Bahadurjit Bhagat,0.7272727272727273,11,1,11,new
61,Devansh Dara,0.5,27,1,24,unreliable
62,Balhaar Talwar,0.9035087719298246,132,4,114,reliable
63,Madhavi Venkataraman,0.6129032258064516,35,1,31,unreliable
64,Tarak Deep,0.6666666666666666,41,1,36,unreliable
65,Bakhshi Thakkar,0.7340425531914894,108,1,94,moderate
66,Gayathri Nazareth,0.8976377952755905,147,4,127,reliable
67,Yuvraj Lal,0.6610169491525424,67,1,59,moderate
68,Zehaan Kapadia,0.5526315789473685,43,1,38,unreliable
69,Bhavika Gour,0.9545454545454546,153,4,132,reliable
70,Indira Dugar,0.7974683544303798,91,2,79,moderate
71,Pallavi Sahni,0.8674698795180723,95,1,83,moderate
72,Jhalak Morar,0.7395833333333334,111,2,96,moderate
73,Ekantika Cherian,0.8861788617886179,142,4,123,reliable
74,Forum Puri,1.0,7,1,7,new
75,Vincent Bahri,0.45,22,1,20,unreliable
76,Zaitra Seshadri,1.0,4,1,5,new
77,Harshil Behl,0.9324324324324325,171,2,148,reliable
78,Ekiya Hari,0.9538461538461539,150,2,130,reliable
79,Yamini Sen,0.75,87,1,76,moderate
80,Damyanti Oza,0.765625,73,1,64,moderate
81,Yashasvi Swamy,0.7727272727272727,101,2,88,moderate
82,Jacob Bhardwaj,0.9826086956521739,133,2,115,reliable
83,Charvi Zachariah,0.9444444444444444,167,2,144,reliable
84,Vanya Rastogi,0.9834710743801653,140,3,121,reliable
85,Bachittar Sem,0.8135593220338984,67,2,59,moderate
86,Reyansh Krishna,0.9732142857142857,129,2,112,reliable
87,Ansh Thakur,0.6901408450704225,81,1,71,moderate
88,Tanish Patla,0.7108433734939759,95,1,83,moderate
89,Vasana Shere,0.958041958041958,165,3,143,reliable
90,Zilmil Ratti,0.921875,148,2,128,reliable
91,Anthony Biswas,0.6896551724137931,32,1,29,unreliable
92,Qarin Wadhwa,0.6724137931034483,66,2,58,moderate
93,Dalbir Jha,0.7,10,1,10,new
94,Zarna Contractor,0.6285714285714286,39,1,35,unreliable
95,Samuel Natt,0.4,34,1,30,unreliable
96,Krish Aurora,0.9243697478991597,137,2,119,reliable
97,Chakradhar Mani,0.68,28,1,25,unreliable
98,Yahvi Dar,0.6666666666666666,2,1,3,new
99,Forum Char,0.3,34,1,30,unreliable
100,Warjas Ratti,0.81,115,1,100,moderate
101,Dayita Doctor,0.9716312056737588,163,2,141,reliable
102,Chakrika Buch,0.7638888888888888,83,2,72,moderate
103,Jacob Divan,0.6,16,1,15,unreliable
104,Jonathan Bumb,0.45454545454545453,37,1,33,unreliable
105,Thomas Sibal,0.875,73,2,64,moderate
106,Triya Borde,0.8333333333333334,6,1,6,new
107,Vasudha Som,0.8316831683168316,116,1,101,moderate
108,Samuel Mangal,0.7164179104477612,77,2,67,moderate
109,Madhavi Karnik,0.660377358490566,60,1,53,moderate
110,Damini Issac,0.3333333333333333,2,1,3,new
111,Kashish Mammen,0.7222222222222222,104,1,90,moderate
112,Gaurika Sidhu,0.7323943661971831,81,1,71,moderate
113,Priya Dhar,0.9435483870967742,143,2,124,reliable
114,Hemangini Gala,0.5217391304347826,25,1,23,unreliable
115,Nidra Kala,0.7230769230769231,74,2,65,moderate
116,Urvi Yadav,0.9150943396226415,122,4,106,reliable
117,Kai Raju,0.5882352941176471,38,1,34,unreliable
118,Wahab Gara,0.8307692307692308,74,2,65,moderate
119,Amara Bera,1.0,3,1,4,new
120,Upasna Dyal,0.0,2,1,3,new
121,Bakhshi Sathe,0.9243697478991597,137,3,119,reliable
122,Reyansh Kothari,0.9306930693069307,116,1,101,moderate
123,Harrison Dar,0.900709219858156,163,3,141,reliable
124,Darpan Dey,0.8333333333333334,6,1,6,new
125,Omkaar Patil,0.45714285714285713,39,1,35,unreliable
126,Aarav Thaker,0.6633663366336634,116,1,101,moderate
127,Forum Jhaveri,0.6086956521739131,25,1,23,unreliable
128,Chandani Raghavan,0.8387096774193549,107,2,93,moderate
129,Nilima Bala,0.9316239316239316,135,4,117,reliable
130,Praneel Vora,0.5757575757575758,37,1,33,unreliable
131,Tamanna Grover,0.9083969465648855,151,2,131,reliable
132,Yauvani Misra,0.9774436090225563,154,4,133,reliable
133,Bhavani Lall,0.6730769230769231,59,2,52,moderate
134,Abeer Din,0.5172413793103449,32,1,29,unreliable
135,Hemang Keer,0.8148148148148148,93,1,81,moderate
136,Gopal Dhar,0.6,10,1,10,new
137,Tanvi Dar,0.5517241379310345,32,1,29,unreliable
138,Lila Mandal,0.7,69,2,60,moderate
139,Kevin Tata,0.5714285714285714,7,1,7,new
140,Om Sangha,0.6629213483146067,102,2,89,moderate
141,Sanaya Balan,0.7027027027027027,85,2,74,moderate
142,Netra Banik,0.7872340425531915,108,2,94,moderate
143,Saksham Bandi,0.47368421052631576,43,1,38,unreliable
144,Falak Radhakrishnan,0.34782608695652173,25,1,23,unreliable
145,Upkaar Mann,0.8970588235294118,157,3,136,reliable
146,Rajata Basak,0.5588235294117647,38,1,34,unreliable
147,Balveer Barad,0.6666666666666666,72,1,63,moderate
